title|start|end|country|location|tradition|language|category|type|overview
The Iliad|-800|-700|GRC,TUR|Aegean world; Homeric origins disputed|Ancient Greek|Ancient Greek|Poetry|Fiction|Achilles' anger reshapes the final year of the Trojan War.
The Odyssey|-750|-650|GRC,TUR|Aegean world; Homeric origins disputed|Ancient Greek|Ancient Greek|Poetry|Fiction|Odysseus struggles to return home while his family contends with unwelcome suitors.
The Republic|-380|-370|GRC|Athens; broad composition association|Ancient Greek|Ancient Greek|Philosophy|Nonfiction|Socrates and his companions examine justice through the idea of an ideal city.
The Symposium|-385|-370|GRC|Athens; broad composition association|Ancient Greek|Ancient Greek|Philosophy|Nonfiction|A dinner party becomes a philosophical inquiry into the nature of love.
The Nicomachean Ethics|-350|-330|GRC|Athens; broad composition association|Ancient Greek|Ancient Greek|Philosophy|Nonfiction|Aristotle explores virtue, friendship, and the habits of a flourishing life.
The Art of Rhetoric|-350|-330|GRC|Athens; broad composition association|Ancient Greek|Ancient Greek|Philosophy|Nonfiction|Aristotle investigates the means by which speakers persuade an audience.
The Histories|-440|-420|GRC,TUR|Greek world and Halicarnassus; approximate association|Ancient Greek|Ancient Greek|History|Nonfiction|Herodotus connects the Persian Wars with stories of peoples across the ancient world.
The History of the Peloponnesian War|-430|-400|GRC|Greek world; written partly in exile|Ancient Greek|Ancient Greek|History|Nonfiction|Thucydides traces the conflict between Athens and Sparta and the pressures of political power.
The Persian Expedition|-380|-360|GRC|Greek world; approximate composition association|Ancient Greek|Ancient Greek|History|Nonfiction|Xenophon recounts the perilous retreat of Greek mercenaries from the Persian Empire.
The Oresteia|-458|-458|GRC|Athens|Ancient Greek|Ancient Greek|Drama|Fiction|A cycle of revenge in the house of Atreus culminates in a trial for murder.
The Three Theban Plays|-441|-401|GRC|Athens; collection of plays from different dates|Ancient Greek|Ancient Greek|Drama|Fiction|Sophocles follows a royal family's collision with fate, law, and loyalty.
The Aeneid|-29|-19|ITA|Italy; broad composition association|Ancient Roman|Latin|Poetry|Fiction|Aeneas flees Troy and journeys toward a new homeland in Italy.
Metamorphoses|8|8|ITA|Rome|Ancient Roman|Latin|Poetry|Fiction|Ovid weaves myths of transformation into a continuous history of the world.
The Meditations|170|180|AUT,SVK|Danube campaigns; approximate writing region|Ancient Roman|Ancient Greek|Philosophy|Nonfiction|A Roman emperor privately reflects on duty, mortality, and self-command.
Letters from a Stoic|62|65|ITA|Rome; broad composition association|Ancient Roman|Latin|Philosophy|Nonfiction|Seneca's letters explore how to live well amid uncertainty and ambition.
The Art of War|-500|-300|CHN|Ancient China; authorship and date debated|Ancient Chinese|Classical Chinese|Philosophy|Nonfiction|A compact treatise examines strategy, preparation, and the costs of conflict.
The Analects|-475|-221|CHN|Ancient China; compiled across generations|Ancient Chinese|Classical Chinese|Philosophy|Nonfiction|Conversations attributed to Confucius examine learning, government, and moral character.
Tao Te Ching|-400|-300|CHN|Ancient China; authorship and date debated|Ancient Chinese|Classical Chinese|Religion & myth|Nonfiction|Brief poetic passages explore the Way, simplicity, and action without force.
The Epic of Gilgamesh|-2100|-1100|IRQ|Mesopotamia; multiple textual traditions|Mesopotamian|Akkadian|Religion & myth|Fiction|A king's grief for his companion sends him in search of an escape from death.
The Bhagavad Gita|-200|200|IND|South Asia; composition location uncertain|Indian|Sanskrit|Religion & myth|Nonfiction|A dialogue on a battlefield examines duty, devotion, and spiritual understanding.
The Tale of Genji|1000|1012|JPN|Heian-kyo, present-day Kyoto|Japanese|Japanese|Novels|Fiction|Courtly relationships reveal the beauty and instability of life in Heian Japan.
The Pillow Book|990|1002|JPN|Heian-kyo, present-day Kyoto|Japanese|Japanese|Life writing|Nonfiction|Sei Shonagon records court life through observations, anecdotes, and lists.
The Divine Comedy|1308|1321|ITA|Italy; written during exile|Italian|Italian|Poetry|Fiction|Dante journeys through Hell, Purgatory, and Paradise in search of spiritual understanding.
The Decameron|1348|1353|ITA|Florence; broad composition association|Italian|Italian|Short stories|Fiction|Ten young people shelter from the plague and exchange stories of love and human folly.
The Canterbury Tales|1387|1400|GBR|England; broad composition association|English|Middle English|Poetry|Fiction|Pilgrims traveling to Canterbury compete to tell the most memorable story.
The Prince|1513|1513|ITA|Sant'Andrea in Percussina, near Florence|Italian|Italian|Philosophy|Nonfiction|Machiavelli examines the strategies rulers use to acquire and maintain power.
Utopia|1516|1516|GBR|England; broad composition association|English|Latin|Philosophy|Fiction|An imagined island society becomes a lens for examining European institutions.
Don Quixote|1605|1615|ESP|Spain; two parts published a decade apart|Spanish|Spanish|Novels|Fiction|An aspiring knight and his practical companion test chivalric ideals against ordinary life.
Hamlet|1599|1601|GBR|London; approximate composition date|English|English|Drama|Fiction|A prince's duty to avenge his father becomes entangled with doubt and deception.
